,uri,timestamp,entertaining,discussion,subjective
0,spotify:episode:4WVNRfAegsNY5hjalqxuX7,1020,['storytelling'],['narration/monologue'],['']
1,spotify:episode:7r2R7rN5RRYga7gRpnl32V,180,"['storytelling', 'excitement']","['narration/monologue', 'conversation', 'interview']","['Approval', 'Disapproval']"
2,spotify:episode:0O5o5C6oF3AsmAUKc3FQxf,420,"['storytelling', 'excitement', 'funny']","['narration/monologue', 'conversation']",['Approval']
3,spotify:episode:0O5o5C6oF3AsmAUKc3FQxf,480,"['storytelling', 'excitement', 'funny']","['narration/monologue', 'conversation']",['Approval']
4,spotify:episode:2R3brIPmklvCtxIN1wiIer,840,"['storytelling', 'excitement']",['narration/monologue'],['']
5,spotify:episode:4G5mp1XwDCR4epGO3Ocs3P,720,['storytelling'],"['narration/monologue', 'conversation', 'interview']",['']
6,spotify:episode:13jF3CVPOfMzUjZzqPXi2V,1920,"['storytelling', 'funny']","['narration/monologue', 'conversation', 'interview', 'debate']",['Disapproval']
7,spotify:episode:13jF3CVPOfMzUjZzqPXi2V,1980,"['storytelling', 'funny']","['narration/monologue', 'conversation', 'interview', 'debate']",['Disapproval']
8,spotify:episode:24z2vl39MfxtT8FG42ZLqO,360,['NA'],['NA'],['NA']
9,spotify:episode:74V9AU72yA7m6eM1piwaSh,2940,"['storytelling', 'funny']","['narration/monologue', 'conversation', 'interview']",['']
10,spotify:episode:24z2vl39MfxtT8FG42ZLqO,540,['NA'],['NA'],['NA']
11,spotify:episode:24z2vl39MfxtT8FG42ZLqO,420,['NA'],['NA'],['NA']
12,spotify:episode:3Fjv9FlXK9SPMH1yKnagvD,4080,"['storytelling', 'funny']","['narration/monologue', 'conversation', 'debate']",['Disapproval']
13,spotify:episode:3Fjv9FlXK9SPMH1yKnagvD,4020,"['storytelling', 'funny', 'excitement']","['narration/monologue', 'conversation', 'debate']",['Disapproval']
14,spotify:episode:4G5mp1XwDCR4epGO3Ocs3P,780,"['storytelling', 'funny']","['narration/monologue', 'conversation']",['']
15,spotify:episode:7eTxFHxgDOssFdEeHO7Mao,1920,"['storytelling', 'funny']","['narration/monologue', 'conversation', 'debate']",['Disapproval']
16,spotify:episode:3oXBepE1MkZEdfRsFX0Ghu,1560,"['storytelling', 'funny']","['narration/monologue', 'conversation', 'debate']",['']
17,spotify:episode:1UhsxH5Rj9A3YvljIJMDTw,1860,"['storytelling', 'funny', 'excitement']","['narration/monologue', 'conversation']",['']
18,spotify:episode:4r1NnmS8QZP0W7aZSeRZ1C,1260,['storytelling'],"['narration/monologue', 'conversation', 'debate']",['']
19,spotify:episode:1UhsxH5Rj9A3YvljIJMDTw,1800,"['storytelling', 'funny']","['narration/monologue', 'conversation', 'debate']",['Approval']
20,spotify:episode:2R3brIPmklvCtxIN1wiIer,780,"['storytelling', 'excitement']",['narration/monologue'],['']
21,spotify:episode:3DmGNaVi6pCGd22pjb8lyG,1380,"['storytelling', 'excitement', 'funny']","['narration/monologue', 'conversation', 'debate']",['']
22,spotify:episode:5rHcphhGQTYfLS55cO8prC,2520,['storytelling'],"['narration/monologue', 'conversation', 'debate', 'interview']",['']
23,spotify:episode:5GXQlUcPO9w0l0abhvmAwt,60,['storytelling'],['narration/monologue'],['']
24,spotify:episode:6ZBuXBOHruSOznfJM5YaC7,1020,['storytelling'],['narration/monologue'],['']
25,spotify:episode:0aEq0nR5fptBVP8X9p07Kx,2700,"['storytelling', 'excitement', 'funny']","['narration/monologue', 'conversation', 'debate']",['']
26,spotify:episode:0wkHHz206yki1wHLFNYW9m,1500,"['storytelling', 'excitement', 'funny']","['narration/monologue', 'conversation', 'debate']",['Approval']
27,spotify:episode:5rBZA18NdpVqOp4JXVP6eg,600,"['storytelling', 'excitement', 'funny']","['narration/monologue', 'conversation', 'interview']",['']
28,spotify:episode:7e7wtc96bljbIinOr8cH6W,540,"['storytelling', 'funny']","['narration/monologue', 'conversation']",['']
29,spotify:episode:7zxyUdsuL57eQCAocxvH76,2520,['storytelling'],['narration/monologue'],['']
30,spotify:episode:0pvUWC5nxUl1Kwwv4tDfYH,1800,"['storytelling', 'funny', 'excitement']","['narration/monologue', 'conversation', 'interview']",['']
31,spotify:episode:1fnMcUn86NI8SOIo9amBrq,300,['storytelling'],"['narration/monologue', 'conversation', 'interview']",['']
32,spotify:episode:1m763ylKFGZHRgZ7XrqVnK,3480,"['storytelling', 'funny']","['narration/monologue', 'conversation', 'interview']",['']
33,spotify:episode:3HzUFDAZJPanCMNDbxAdeT,720,['storytelling'],"['narration/monologue', 'conversation', 'interview']",['']
34,spotify:episode:3XiAZqWlIqkDiggra87G8C,2040,['storytelling'],"['narration/monologue', 'conversation', 'interview']",['Disapproval']
35,spotify:episode:5PMn83p6osTcWLwREE0ntT,1680,"['storytelling', 'sad']",['narration/monologue'],['']
36,spotify:episode:5XMuxTUy6DTSFhaFsSEeqg,1500,['storytelling'],"['narration/monologue', 'conversation', 'interview']",['']
37,spotify:episode:1uIU083qv4yYVyErbFQWzM,2220,"['storytelling', 'excitement']","['narration/monologue', 'conversation', 'interview']",['']
38,spotify:episode:3foOZkKiR93FWqbTOgcv8w,480,['storytelling'],"['narration/monologue', 'conversation', 'interview']",['']
39,spotify:episode:5JZf4QxSll6xqwSBSBq2iA,540,"['storytelling', 'excitement']",['narration/monologue'],['']
40,spotify:episode:1nEu9uHBRthWtPip0Xigld,1500,"['storytelling', 'funny']","['narration/monologue', 'interview']",['']
41,spotify:episode:2jtdbFsMOTgWAvg8knaRyI,3600,['storytelling'],"['narration/monologue', 'conversation', 'interview']",['Approval']
42,spotify:episode:68IxanAkfGi9pRLA9fUjjj,540,"['storytelling', 'excitement']",['narration/monologue'],['Approval']
43,spotify:episode:6niO1mcgvWPOkgFFwIeP31,2640,"['storytelling', 'excitement']","['narration/monologue', 'conversation', 'interview']",['']
44,spotify:episode:0aEq0nR5fptBVP8X9p07Kx,2640,"['storytelling', 'excitement', 'funny']","['narration/monologue', 'conversation', 'debate']","['Approval', 'Disapproval']"
45,spotify:episode:1hSkBfLWPUm12cGgs6nm13,3120,"['storytelling', 'excitement', 'funny']","['narration/monologue', 'conversation']",['']
46,spotify:episode:4VNCvcziUvQHXbNaEuMCyu,300,"['storytelling', 'excitement']","['narration/monologue', 'conversation']",['']
47,spotify:episode:4diC1fUbSyx76OCOg0U3n6,300,"['storytelling', 'excitement', 'funny']","['narration/monologue', 'conversation']",['Approval']
48,spotify:episode:5Oa1e2BgrcwYfFcn2WVp8J,240,['storytelling'],['narration/monologue'],['']
49,spotify:episode:68IxanAkfGi9pRLA9fUjjj,780,"['storytelling', 'excitement']",['narration/monologue'],['Approval']
0,spotify:episode:24z2vl39MfxtT8FG42ZLqO,600,[''],['narration/monologue'],['']
1,spotify:episode:2JFfi2f5j24NaCmBMeHGMG,1380,['funny'],['debate'],['Approval']
2,spotify:episode:44VIrpgnHBxZYcxfiUmoZK,1560,['storytelling'],['narration/monologue'],['']
3,spotify:episode:7ErWsLkwZrq2AGrT3KAcSb,660,['funny'],['debate'],['Approval']
4,spotify:episode:6QpiEnKqPFUHbEHzFU9FIC,1740,['funny'],"['conversation', 'interview']",['Approval']
